date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:35	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Mar%202025%2019:59:25%20GMT	https://yoshisonic.xyz/robots.txt		(from )
19:59:35	16007/16007	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202025%2010:02:21%20GMT	https://yoshisonic.xyz/	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/index.html	(from )
19:59:36	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/ISOOMH%20NEW/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://yoshisonic.xyz/)
19:59:36	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac445-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/ISOOMH%20NEW/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://yoshisonic.xyz/)
19:59:36	606/606	---M--	200	added ('OK')	image/png	etag:%2267cd672d-25e%22	https://yoshisonic.xyz/assets/images/favicon.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/favicon.png	(from https://yoshisonic.xyz/)
19:59:37	747714/747714	---M--	200	added ('OK')	image/png	etag:%2267cd672d-b68c2%22	https://yoshisonic.xyz/assets/images/bg.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/bg.png	(from https://yoshisonic.xyz/)
19:59:37	5695/5695	---M--	200	added ('OK')	image/png	etag:%2267cd672c-163f%22	https://yoshisonic.xyz/assets/images/logo_name.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/logo_name.png	(from https://yoshisonic.xyz/)
19:59:38	132278/132278	---M--	200	added ('OK')	image/png	etag:%2267cd672b-204b6%22	https://yoshisonic.xyz/assets/images/section1.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/section1.png	(from https://yoshisonic.xyz/)
19:59:38	50367/50367	---M--	200	added ('OK')	image/png	etag:%2267cd672b-c4bf%22	https://yoshisonic.xyz/assets/images/section2.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/section2.png	(from https://yoshisonic.xyz/)
19:59:39	2840/2840	---M--	200	added ('OK')	image/png	etag:%2267cd672c-b18%22	https://yoshisonic.xyz/assets/images/roadmap-line.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/roadmap-line.png	(from https://yoshisonic.xyz/)
19:59:39	75519/75519	---M--	200	added ('OK')	image/png	etag:%2267cd672c-126ff%22	https://yoshisonic.xyz/assets/images/section3.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/section3.png	(from https://yoshisonic.xyz/)
19:59:39	78895/78895	---M--	200	added ('OK')	image/png	etag:%2267cd672c-1342f%22	https://yoshisonic.xyz/assets/images/section4.png	C:/My%20Web%20Sites/ISOOMH%20NEW/yoshisonic.xyz/assets/images/section4.png	(from https://yoshisonic.xyz/)
19:59:39	80663/80663	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b17-9/0PPchLLPk7+B6DJQWmc/NU4KM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/ISOOMH%20NEW/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	(from https://yoshisonic.xyz/)
19:59:40	77/77	---M-Z	404	error ('Not%20Found')	text/plain	etag:W/%224d-5GlFE31SR1UpfrE5aN+BnxXP9D8%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.js	C:/My%20Web%20Sites/ISOOMH%20NEW/cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.js	(from https://yoshisonic.xyz/)
